timestamp,solving_id,question_id,user_answer,elapsed_time
1508044211927,91,q414,b,15000
1508044247799,92,q1396,b,15000
1508044296462,93,q876,b,19000
1508044330380,94,q1389,c,14000
1508044354690,95,q416,a,15000
1508044492335,96,q6440,d,41000
1508044622716,97,q4131,c,45000
1508110607158,98,q237,c,19000
1508112468837,99,q4526,d,21000
1508112621657,100,q6335,d,33000
1508112692436,101,q5286,b,44000
1508117541714,102,q4820,c,38000
1508117682712,103,q6502,c,63000
1508118058577,104,q5767,d,43000
1508118152518,105,q6550,a,32000
1508118544032,106,q836,b,13000
1508118589979,107,q424,b,21000
1508118644545,108,q498,c,16000
1508118698156,109,q1012,b,13000
1508118745399,110,q469,c,18000
1508118846690,111,q636,c,16000
1508119321594,112,q1325,c,18000
1508129767652,113,q711,b,16000
1508129796941,114,q510,a,23000
1508129863674,115,q598,c,15000
1508129883372,116,q1067,c,14000
1508129905702,117,q444,b,13000
1508129945427,118,q1288,b,17000
1508130003168,119,q591,a,18000
1508130037810,120,q1194,a,15000
1508130081129,121,q639,b,29000
1508130133460,122,q419,a,17000
1508130188094,123,q789,c,18000
1508130253936,124,q681,a,13000
1508130311483,125,q1182,a,17000
1508130364990,126,q754,a,16000
1508130405964,127,q1378,b,23000
1508130502742,128,q219,c,17000
1508130556058,129,q570,b,21000
1508130596181,130,q997,c,18000
1508132669296,131,q5459,b,34000
1508132812457,132,q4765,b,119000
1508132950725,133,q4099,b,31000
1508133051013,134,q5329,a,50000
1508133105236,135,q4288,d,36000
1508133168086,136,q4698,d,25000
1508133251872,137,q4597,a,59000
1508133320943,138,q5322,b,36000
1508135422119,139,q6242,a,21000
1508135544720,140,q6390,a,91000
1508135632687,141,q5741,d,27000
1508135758794,142,q5280,b,42000
1508135811348,143,q4505,d,16000
1508135904761,144,q5342,c,43000
1508136010013,145,q4300,d,31000
1508136095962,146,q5058,a,16000
1508136177028,147,q5395,c,21000
1508136207365,148,q5769,a,17000
1508136320815,149,q5676,c,99000
1508136430149,150,q5683,b,41000
1508136516472,151,q3788,d,49000
1508136596361,152,q5381,a,70000
1508136690755,153,q3967,d,49000
1508136805506,154,q4262,a,59000
1508136929040,155,q4645,a,36000
1508137012869,156,q5667,b,23000
1508152655819,157,q6466,a,22000
1508152703076,158,q4438,a,35000
1508152754737,159,q4822,d,43000
1508152833093,160,q4283,b,22000
1508152900594,161,q4324,a,27000
1508152991462,162,q5328,b,32000
1508153044543,163,q5390,c,29000
1508153095163,164,q3931,c,28000
1508153144302,165,q4536,b,23000
1508153204737,166,q9592,c,20000
1508157594290,167,q6732,b,35000
1508157690036,168,q4821,d,57000
1508159893744,169,q8170,a,21000
1508159927426,170,q16,c,20000
1508159969950,171,q187,c,19000
1508160010683,172,q162,b,22000
1508160072866,173,q34,b,16000
1508216756748,174,q4200,a,46000
1508216805588,175,q3756,a,16000
1508216924518,176,q4476,c,21000
1508216987571,177,q3935,c,54000
1508217596349,178,q4199,b,7000
1508217620939,179,q3947,b,19000
1508217682688,180,q4470,a,22000
1508217766284,181,q6469,a,20000
1508217793087,182,q4565,b,9000
1508217866752,183,q5560,c,42000
1508218039728,184,q6332,c,159000
1508218223199,185,q3795,a,55000
1508218327155,186,q5186,a,28000
1508218406697,187,q5318,d,18000
1508218519298,188,q5595,a,94000
1508218606719,189,q4490,c,28000
1508218654242,190,q4877,a,26000
1508218707720,191,q6724,a,14000
1508218780506,192,q3928,c,44000
1508218884147,193,q4591,a,29000
1508219045922,194,q4791,c,38000
1508220597589,195,q5220,d,31000
1508225343311,196,q4113,b,48000
1508225815652,197,q4498,c,92000
1508225910052,198,q6101,c,34000
1508226027477,199,q6497,d,45000
1508226132090,200,q4280,c,60000
1508226310643,201,q5049,a,32000
1508226405180,202,q4096,b,69000
1508226607574,203,q3625,a,56000
1509411447103,204,q65,a,16000
1509411494162,205,q188,c,21000
1509411545854,206,q192,d,22000
1509411585845,207,q24,d,21000
1509411629907,208,q8053,c,21000
1509411679842,208,q8053,b,15000
1509412042854,209,q5220,b,12000
1509412073374,210,q4536,a,22000
1509412144537,211,q5785,b,39000
1509412197043,212,q3678,d,21000
1509412238553,213,q5909,d,12000
1509412263468,214,q4189,c,15000
1509412294491,215,q5624,a,15000
1509412561179,216,q5524,a,12000
1509412600020,217,q5757,b,27000
1509412720518,218,q3909,a,80000
1509412794054,219,q4920,d,29000
1509412828360,220,q10048,a,28000
1509416978043,221,q24,a,9000
1509425717321,222,q154,b,21000
1509425748038,223,q166,c,21000
1509425784581,224,q103,d,18000
1509425840693,225,q8057,d,26000
1509425868536,226,q65,b,12000
1509425897392,227,q187,c,20000
1509425918196,228,q8057,a,10000
1509425947705,229,q103,c,19000
1509425977486,230,q8065,d,126000
1509426011492,231,q111,d,28000
1509426073227,232,q8172,a,23000
1509426115919,233,q8140,b,30000
1509426171011,234,q8181,b,22000
1509426214159,235,q149,b,20000
1509426247787,236,q38,a,23000
1509426317425,237,q7,c,34000
1509426404024,238,q15,d,23000
1509426485860,239,q10,a,23000
1509426651999,240,q8053,b,19000
1509426678602,241,q166,c,16000
1509426690618,242,q24,a,7000
1509426719249,243,q7,d,22000
1509426745344,244,q10,c,20000
1509426785110,245,q135,a,156000
1509426851461,246,q190,a,23000
1509426896917,247,q56,d,27000
1509426928034,248,q32,a,10000
1509426954627,249,q108,a,21000
1509427936570,250,q9471,b,66000
1509428025559,251,q5267,a,41000
1509428126941,252,q4474,b,38000
1509428183375,253,q4601,c,22000
1509428205980,254,q8545,b,14000
1509428300865,255,q5056,d,41000
1509428326884,256,q5330,a,21000
1509428346472,257,q4153,b,9000
1509428364041,258,q8189,c,13000
1509428429327,259,q4747,b,61000
1509428494692,260,q5362,b,43000
1509428574585,261,q103,c,16000
1509428587920,262,q187,a,8000
1509431301212,263,q8080,d,24000
1509431347299,264,q195,c,22000
1509431395989,265,q8056,d,23000
1509431454780,266,q8054,b,22000
1509431513118,267,q183,d,20000
1509431555871,268,q8125,c,26000
1509431659911,269,q49,c,23000
1509431755815,270,q170,b,32000
1509431809394,271,q8086,b,17000
1509431837260,272,q8075,b,22000
1509431868917,273,q8096,a,25000
1509431936271,274,q8099,a,23000
1509432019369,275,q8131,d,28000
1509432341835,276,q66,d,27000
1509432427799,277,q186,b,29000
1509432522353,278,q8105,a,20000
1509432548037,279,q8112,b,20000
1509432643036,280,q175,b,22000
1509432699199,281,q13,a,28000
1509432864266,282,q8098,b,23000
1509769337099,283,q99,a,20000
1509769393772,284,q1181,b,13000
1509769412753,285,q295,c,14000
1509769441038,286,q334,c,13000
1509769466428,287,q605,b,18000
1509769515728,288,q1160,c,14000
1509769546375,289,q1285,b,17000
1509769578385,290,q778,a,15000
1509769611361,291,q536,a,15000
1509769630118,292,q1349,c,13000
1509769655300,293,q477,c,20000
1509769774417,294,q210,c,21000
1509769813130,295,q957,a,17000
1510036583541,296,q1005,c,16000
1510036612467,297,q769,b,14000
